1;HB-0;Mencegah penularan pernyakit Hepatitis B dan kerusakan hati;2022-08-05;2022-08-05
2;BCG (Bacillus Calmette Guerin), Polio 1;BCG mencegah penularan pernyakit TBC (Tuberkolosis) yang berat. Polio 1 dapat mencegah penularan pernyakit polio yang dapat menyebabkan lumpuh layuh pada tungkai dan atau lengan. BCG dan Polio 1 biasanya diberikan pada bayi berumur 1 bulan.;2022-08-05;2022-08-05
3;DPT-HB-Hib 1, Polio 2;DPT-HB-Hib 1 diberikan kepada bayi berumur 2 bulan untuk mencegah penularan pernyakit difteri yang menyumbat jalan napas, mencegah penularan batuk rejan, tetanus, Hepatitis B yang menyebabkan kerusakan hati dan mencegah infeksi HIB penyebab meningitis (radang selaput otak). Polio 2 biasanya diberikan kepada bayi berumur  2, guna mencegah penularan penyakit polio yang dapat menyebabkan lumpuh layuh pada tungkai dan atau lengan;2022-08-05;2022-08-05
4;DPT-HB-Hib 2, Polio 3;DPT-HB-Hib 2 diberikan kepada bayi berumur 3 bulan untuk mencegah penularan pernyakit difteri yang menyumbat jalan napas, mencegah penularan batuk rejan, tetanus, Hepatitis B yang menyebabkan kerusakan hati dan mencegah infeksi HIB penyebab meningitis (radang selaput otak). Polio 3 biasanya diberikan kepada bayi berumur  3, guna mencegah penularan penyakit polio yang dapat menyebabkan lumpuh layuh pada tungkai dan atau lengan;2022-08-05;2022-08-05
5;DPT-HB-Hib 3, Polio 4;DPT-HB-Hib 3 diberikan kepada bayi berumur 4 bulan untuk mencegah penularan pernyakit difteri yang menyumbat jalan napas, mencegah penularan batuk rejan, tetanus, Hepatitis B yang menyebabkan kerusakan hati dan mencegah infeksi HIB penyebab meningitis (radang selaput otak). Polio 4 biasanya diberikan kepada bayi berumur  4, guna mencegah penularan penyakit polio yang dapat menyebabkan lumpuh layuh pada tungkai dan atau lengan;2022-08-05;2022-08-05
6;IPV;Kegunaan pemberian IPV sama dengan pemberian Polio yaitu untuk mencegah penularan penyakit polio yang dapat menyebabkan lumpuh layuh pada tungkai dan atau lengan. IPV biasanya diberikan waktu bayi mulai berumur 4.;2022-08-05;2022-08-05
7;Campak;Mencegah penularan pernyakit campak yang dapat menyebabkan komplikasi radang paru, radang otak dan kebutaan;2022-08-05;2022-08-05
8;DPT-HB-Hib Lanjutan;Diberikan kepada bayi jika sudah berumur 18 bulan sampai 24 bulan;2022-08-05;2022-08-05
9;Campak Lanjutan;Diberikan kepada bayi jika sudah berumur 18 bulan sampai 24 bulan;2022-08-05;2022-08-05
10;ORI (Outbreak Response Immunization);Digunakan untuk mencegah penyebaran wabah difteri;2022-08-05;2022-08-05
